,Month,hours,windspeedat100mms,mwh,ncf
1,1,744,4.705,262.764,23.50%
2,2,672,4.705,247.664,24.60%
3,3,744,4.867,259.804,23.30%
4,4,720,6.585,378.228,35.00%
5,5,744,4.501,184.679,16.50%
6,6,720,4.496,188.630,17.50%
7,7,744,3.697,111.523,10.00%
8,8,744,3.897,143.448,12.90%
9,9,720,4.725,223.078,20.70%
10,10,744,4.905,258.261,23.10%
11,11,720,4.627,236.885,21.90%
12,12,744,5.020,274.958,24.60%
